"","name","value","type","step"
"1","depth",-7.88705310348977e-05,"Historical","1"
"2","slope",-0.0418302982679371,"Historical","1"
"3","di_1000m",-0.00316165775542601,"Historical","1"
"4","di_seaM",-7.01473177548815e-05,"Historical","1"
"5","di_spRid",-7.96974013725245e-05,"Historical","1"
"6","depth",-6.92498309052977e-05,"Historical","2"
"7","slope",-0.0376902560823242,"Historical","2"
"8","di_1000m",-0.0027273107334066,"Historical","2"
"9","di_seaM",-0.00125416651210904,"Historical","2"
"10","di_spRid",-0.000116921115554233,"Historical","2"
"11","depth",-0.000152922820280208,"Historical","3"
"12","slope",-0.00743797417590739,"Historical","3"
"13","di_1000m",-0.00326584295222579,"Historical","3"
"14","di_seaM",0.00021890810080753,"Historical","3"
"15","di_spRid",0.000197659854379859,"Historical","3"
"16","depth",-0.000219684543062713,"Historical","4"
"17","slope",-0.0167672637410857,"Historical","4"
"18","di_1000m",-0.00362722766136327,"Historical","4"
"19","di_seaM",-0.000323449581866468,"Historical","4"
"20","depth",-7.31705361728648e-05,"Historical","5"
"21","slope",-0.00604215391372325,"Historical","5"
"22","di_1000m",-0.00273556989811232,"Historical","5"
"23","di_seaM",0.000437227273411372,"Historical","5"
"24","di_spRid",-0.000127951260434397,"Historical","5"
"25","depth",-0.000235570961959876,"Historical","6"
"26","slope",-0.00268744601514977,"Historical","6"
"27","di_1000m",-0.00337310925757874,"Historical","6"
"28","di_seaM",1.36669186758978e-06,"Historical","6"
"29","di_spRid",0.000103357017623193,"Historical","6"
"30","depth",-0.000199054658833302,"Historical","7"
"31","slope",-0.00130292533941738,"Historical","7"
"32","di_1000m",-0.00308123943655818,"Historical","7"
"33","di_spRid",4.45478441691931e-05,"Historical","7"
"34","depth",-0.000142253182534735,"Historical","8"
"35","di_1000m",-0.0032679987962986,"Historical","8"
"36","di_seaM",-0.00029126814891038,"Historical","8"
"37","di_spRid",0.000249027201472389,"Historical","8"
"38","depth",-0.000303966909560904,"Historical","9"
"39","slope",-0.0170229610624841,"Historical","9"
"40","di_1000m",-0.00393172122615206,"Historical","9"
"41","di_spRid",6.65563350844942e-05,"Historical","9"
"42","depth",-0.000211016718963377,"Historical","10"
"43","slope",-0.0339863392457285,"Historical","10"
"44","di_1000m",-0.00264043389283946,"Historical","10"
"45","di_seaM",-0.000924608111082935,"Historical","10"
"46","di_spRid",0.000139688799175155,"Historical","10"
